period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,30812,8,9594,0,1446,238964,0,89220,9594,0,1446,-149744,-8148,-8148
2017,156,842,30819,8,21238,0,0,863268,0,0,21238,0,0,-863268,-21238,-21238
2017,156,842,30821,8,8540,0,3598,95086,0,376352,8540,0,3598,281266,-4942,-4942
2017,156,842,30830,8,606090,0,672848,303952,0,7349528,606090,0,672848,7045576,66758,66758
2017,156,842,30890,8,64,0,8100,2660,0,127484,64,0,8100,124824,8036,8036
2017,156,842,4,-1,0,0,0,855703312,0,29722338,0,0,0,-825980974,0,0
2017,156,842,401,8,288538,0,0,551440,0,0,288538,0,0,-551440,-288538,-288538
2017,156,842,40110,8,151108,0,0,205022,0,0,151108,0,0,-205022,-151108,-151108
2017,156,842,40120,8,101184,0,0,265996,0,0,101184,0,0,-265996,-101184,-101184
2017,156,842,40140,8,198,0,0,258,0,0,198,0,0,-258,-198,-198
2017,156,842,40150,8,36048,0,0,80164,0,0,36048,0,0,-80164,-36048,-36048
2017,156,842,402,8,67665916,0,440030,166251988,0,605230,67665916,0,440030,-165646758,-67225886,-67225886
2017,156,842,40210,8,55213684,0,0,119101962,0,0,55213684,0,0,-119101962,-55213684,-55213684
2017,156,842,40221,8,12356810,0,0,46774418,0,0,12356810,0,0,-46774418,-12356810,-12356810
2017,156,842,40229,8,32352,0,4,186992,0,10,32352,0,4,-186982,-32348,-32348
2017,156,842,40299,8,63070,0,440026,188616,0,605220,63070,0,440026,416604,376956,376956
2017,156,842,403,8,1197124,0,0,2464962,0,0,1197124,0,0,-2464962,-1197124,-1197124
2017,156,842,40310,8,174754,0,0,405326,0,0,174754,0,0,-405326,-174754,-174754
2017,156,842,40390,8,1022370,0,0,2059636,0,0,1022370,0,0,-2059636,-1022370,-1022370
2017,156,842,404,8,580997744,0,0,561453052,0,0,580997744,0,0,-561453052,-580997744,-580997744
2017,156,842,40410,8,580867306,0,0,560757770,0,0,580867306,0,0,-560757770,-580867306,-580867306
2017,156,842,40490,8,130438,0,0,695282,0,0,130438,0,0,-695282,-130438,-130438
2017,156,842,405,8,113850,0,0,955704,0,0,113850,0,0,-955704,-113850,-113850
2017,156,842,40510,8,40,0,0,752,0,0,40,0,0,-752,-40,-40
2017,156,842,40590,8,113810,0,0,954952,0,0,113810,0,0,-954952,-113810,-113810
2017,156,842,406,8,25809834,0,0,120469366,0,0,25809834,0,0,-120469366,-25809834,-25809834
2017,156,842,40610,8,1565766,0,0,7117378,0,0,1565766,0,0,-7117378,-1565766,-1565766
2017,156,842,40620,8,10834146,0,0,48865554,0,0,10834146,0,0,-48865554,-10834146,-10834146
2017,156,842,40630,8,4416186,0,0,21726302,0,0,4416186,0,0,-21726302,-4416186,-4416186
2017,156,842,40690,8,8993736,0,0,42760132,0,0,8993736,0,0,-42760132,-8993736,-8993736
