"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","608","391000",8,18,0,3611464,5842,0,15857534,18,0,3611464,15851692,3611446,3611446
2017,"156","484","391000",8,546,0,3248326,17844,0,12006822,546,0,3248326,11988978,3247780,3247780
2017,"156","50","391000",8,0,0,2980278,0,0,7532938,0,0,2980278,7532938,2980278,2980278
2017,"156","36","391000",8,2002,0,1938164,8198,0,5619232,2002,0,1938164,5611034,1936162,1936162
2017,"156","804","391000",8,0,0,2120124,0,0,4581726,0,0,2120124,4581726,2120124,2120124
2017,"156","124","391000",8,327026,0,2248886,3934812,0,7806600,327026,0,2248886,3871788,1921860,1921860
2017,"156","32","391000",8,0,0,1098534,0,0,3807098,0,0,1098534,3807098,1098534,1098534
2017,"156","818","391000",8,12304,0,1224396,59290,0,3836012,12304,0,1224396,3776722,1212092,1212092
2017,"156","170","391000",8,0,0,1030520,0,0,3566888,0,0,1030520,3566888,1030520,1030520
2017,"156","710","391000",8,0,0,1105250,0,0,3371134,0,0,1105250,3371134,1105250,1105250
2017,"156","604","391000",8,0,0,794450,0,0,3347138,0,0,794450,3347138,794450,794450
2017,"156","616","391000",8,49212,0,1814314,2225998,0,4920172,49212,0,1814314,2694174,1765102,1765102
2017,"156","682","391000",8,0,0,1123944,0,0,2217770,0,0,1123944,2217770,1123944,1123944
2017,"156","554","391000",8,1000,0,510898,18950,0,2132082,1000,0,510898,2113132,509898,509898
2017,"156","703","391000",8,35.844,0,347572,224,0,1909246,35.844,0,347572,1909022,347536.156,347536.156
2017,"156","144","391000",8,0,0,369274,0,0,1862200,0,0,369274,1862200,369274,369274
2017,"156","404","391000",8,0,0,366044,0,0,1654832,0,0,366044,1654832,366044,366044
2017,"156","218","391000",8,0,0,270852,0,0,1604950,0,0,270852,1604950,270852,270852
2017,"156","860","391000",8,0,0,453318,0,0,1551414,0,0,453318,1551414,453318,453318
2017,"156","12","391000",8,0,0,657484,0,0,1477216,0,0,657484,1477216,657484,657484
2017,"156","705","391000",8,760,0,946920,9630,0,1419962,760,0,946920,1410332,946160,946160
2017,"156","340","391000",8,0,0,299172,0,0,1305888,0,0,299172,1305888,299172,299172
2017,"156","376","391000",8,636,0,456276,11976,0,1241924,636,0,456276,1229948,455640,455640
2017,"156","702","391000",8,214146,0,1073664,2807616,0,4024514,214146,0,1073664,1216898,859518,859518
2017,"156","757","391000",8,55692.256,0,421336,446860,0,1473220,55692.256,0,421336,1026360,365643.744,365643.744
2017,"156","348","391000",8,0,0,336416,0,0,938506,0,0,336416,938506,336416,336416
2017,"156","116","391000",8,0,0,250054,0,0,922168,0,0,250054,922168,250054,250054
2017,"156","384","391000",8,0,0,237600,0,0,891680,0,0,237600,891680,237600,237600
2017,"156","152","391000",8,0,0,384750,0,0,761226,0,0,384750,761226,384750,384750
2017,"156","504","391000",8,0,0,169650,0,0,684178,0,0,169650,684178,169650,169650
2017,"156","566","391000",8,0,0,162484,0,0,632598,0,0,162484,632598,162484,162484
2017,"156","180","391000",8,0,0,145920,0,0,617304,0,0,145920,617304,145920,145920
2017,"156","246","391000",8,52,0,243156,4622,0,565770,52,0,243156,561148,243104,243104
2017,"156","100","391000",8,0,0,224598,0,0,489780,0,0,224598,489780,224598,224598
2017,"156","462","391000",8,0,0,38880,0,0,457412,0,0,38880,457412,38880,38880
2017,"156","512","391000",8,0,0,208120,0,0,447988,0,0,208120,447988,208120,208120
2017,"156","320","391000",8,0,0,75510,0,0,425774,0,0,75510,425774,75510,75510
2017,"156","214","391000",8,0,0,159410,0,0,395602,0,0,159410,395602,159410,159410
2017,"156","400","391000",8,0,0,58434,0,0,362524,0,0,58434,362524,58434,58434
2017,"156","600","391000",8,0,0,90720,0,0,356904,0,0,90720,356904,90720,90720
2017,"156","417","391000",8,0,0,124800,0,0,338104,0,0,124800,338104,124800,124800
2017,"156","858","391000",8,0,0,68896,0,0,327522,0,0,68896,327522,68896,68896
2017,"156","642","391000",8,88,0,92842,1968,0,320100,88,0,92842,318132,92754,92754
2017,"156","440","391000",8,0,0,77984,0,0,307522,0,0,77984,307522,77984,77984
2017,"156","788","391000",8,0,0,59998,0,0,290822,0,0,59998,290822,59998,59998
2017,"156","262","391000",8,0,0,80720,0,0,283494,0,0,80720,283494,80720,80720
2017,"156","724","391000",8,854406,0,1572620,5233952,0,5495994,854406,0,1572620,262042,718214,718214
2017,"156","422","391000",8,0,0,70842,0,0,220704,0,0,70842,220704,70842,70842
2017,"156","591","391000",8,0,0,51586,0,0,182638,0,0,51586,182638,51586,51586
2017,"156","268","391000",8,0,0,146646,0,0,171626,0,0,146646,171626,146646,146646
2017,"156","634","391000",8,0,0,69094,0,0,169582,0,0,69094,169582,69094,69094
2017,"156","760","391000",8,0,0,43520,0,0,157714,0,0,43520,157714,43520,43520
2017,"156","480","391000",8,0,0,18342,0,0,137212,0,0,18342,137212,18342,18342
2017,"156","300","391000",8,0,0,71140,0,0,134826,0,0,71140,134826,71140,71140
2017,"156","31","391000",8,0,0,30000,0,0,99390,0,0,30000,99390,30000,30000
2017,"156","231","391000",8,0,0,59150,0,0,96712,0,0,59150,96712,59150,59150
2017,"156","208","391000",8,3324,0,27872,35526,0,128928,3324,0,27872,93402,24548,24548
2017,"156","620","391000",8,4676,0,9592,63394,0,151602,4676,0,9592,88208,4916,4916
2017,"156","428","391000",8,0,0,22310.022,0,0,75762,0,0,22310.022,75762,22310.022,22310.022
2017,"156","408","391000",8,0,0,16156,0,0,74716,0,0,16156,74716,16156,16156
2017,"156","729","391000",8,0,0,22422,0,0,61862,0,0,22422,61862,22422,22422
2017,"156","496","391000",8,0,0,22000,0,0,56660,0,0,22000,56660,22000,22000
2017,"156","716","391000",8,0,0,1208,0,0,50330,0,0,1208,50330,1208,1208
2017,"156","222","391000",8,0,0,10970,0,0,44842,0,0,10970,44842,10970,10970
2017,"156","68","391000",8,0,0,16028,0,0,40988,0,0,16028,40988,16028,16028
2017,"156","191","391000",8,0,0,12856,0,0,39368,0,0,12856,39368,12856,12856
2017,"156","51","391000",8,0,0,14356,0,0,35956,0,0,14356,35956,14356,14356
2017,"156","288","391000",8,0,0,52848,0,0,34724,0,0,52848,34724,52848,52848
2017,"156","188","391000",8,0,0,9288,0,0,33508,0,0,9288,33508,9288,9288
2017,"156","368","391000",8,0,0,16446,0,0,32660,0,0,16446,32660,16446,16446
2017,"156","120","391000",8,0,0,8660,0,0,32170,0,0,8660,32170,8660,8660
2017,"156","862","391000",8,0,0,7406,0,0,30788,0,0,7406,30788,7406,7406
2017,"156","795","391000",8,0,0,20000,0,0,27592,0,0,20000,27592,20000,20000
2017,"156","233","391000",8,0,0,3041.602,0,0,24496,0,0,3041.602,24496,3041.602,3041.602
2017,"156","398","391000",8,0,0,3697.482,0,0,20064,0,0,3697.482,20064,3697.482,3697.482
2017,"156","579","391000",8,0,0,528,0,0,18900,0,0,528,18900,528,528
2017,"156","104","391000",8,0,0,9816,0,0,18352,0,0,9816,18352,9816,9816
2017,"156","894","391000",8,0,0,4080,0,0,14802,0,0,4080,14802,4080,4080
2017,"156","8","391000",8,0,0,2160,0,0,13464,0,0,2160,13464,2160,2160
2017,"156","800","391000",8,0,0,1480,0,0,10752,0,0,1480,10752,1480,1480
2017,"156","834","391000",8,0,0,4000,0,0,10108,0,0,4000,10108,4000,4000
2017,"156","450","391000",8,0,0,4048,0,0,6842,0,0,4048,6842,4048,4048
2017,"156","418","391000",8,0,0,6750,0,0,6288,0,0,6750,6288,6750,6750
2017,"156","508","391000",8,0,0,1400,0,0,5600,0,0,1400,5600,1400,1400
2017,"156","204","391000",8,0,0,4600,0,0,5116,0,0,4600,5116,4600,4600
2017,"156","192","391000",8,0,0,728,0,0,4304,0,0,728,4304,728,728
2017,"156","372","391000",8,0,0,1460,0,0,3816,0,0,1460,3816,1460,1460
2017,"156","196","391000",8,0,0,240,0,0,3324,0,0,240,3324,240,240
2017,"156","470","391000",8,0,0,780,0,0,2196,0,0,780,2196,780,780
2017,"156","414","391000",8,0,0,320,0,0,1760,0,0,320,1760,320,320
2017,"156","498","391000",8,0,0,1634,0,0,1264,0,0,1634,1264,1634,1634
2017,"156","524","391000",8,0,0,1000,0,0,998,0,0,1000,998,1000,1000
2017,"156","434","391000",8,0,0,200,0,0,988,0,0,200,988,200,200
2017,"156","48","391000",8,0,0,556,0,0,612,0,0,556,612,556,556
